[ Valid | 333/600 ] loss = 0.27888, acc = 0.93390  epoch 332
[ Valid | 334/600 ] loss = 0.34322, acc = 0.92576  epoch 333
[ Valid | 335/600 ] loss = 0.25715, acc = 0.94015  epoch 334
[ Valid | 336/600 ] loss = 0.27886, acc = 0.92765  epoch 335
[ Valid | 337/600 ] loss = 0.27025, acc = 0.93437  epoch 336
[ Valid | 338/600 ] loss = 0.29515, acc = 0.93125  epoch 337
[ Valid | 339/600 ] loss = 0.26381, acc = 0.93911  epoch 338
[ Valid | 340/600 ] loss = 0.22719, acc = 0.94687  epoch 339
[ Valid | 341/600 ] loss = 0.26259, acc = 0.93400  epoch 340
[ Valid | 342/600 ] loss = 0.25172, acc = 0.93854  epoch 341
[ Valid | 343/600 ] loss = 0.28738, acc = 0.93286  epoch 342
[ Valid | 344/600 ] loss = 0.25724, acc = 0.94223  epoch 343
[ Valid | 345/600 ] loss = 0.31214, acc = 0.93286  epoch 344
[ Valid | 346/600 ] loss = 0.31595, acc = 0.93343  epoch 345
[ Valid | 347/600 ] loss = 0.30078, acc = 0.92737  epoch 346
[ Valid | 348/600 ] loss = 0.29263, acc = 0.92926  epoch 347
[ Valid | 349/600 ] loss = 0.25326, acc = 0.94015  epoch 348
[ Valid | 350/600 ] loss = 0.30627, acc = 0.93390  epoch 349
[ Valid | 351/600 ] loss = 0.27793, acc = 0.93759  epoch 350
[ Valid | 352/600 ] loss = 0.31458, acc = 0.93542  epoch 351
[ Valid | 353/600 ] loss = 0.26540, acc = 0.93920  epoch 352
[ Valid | 354/600 ] loss = 0.31198, acc = 0.93286  epoch 353
[ Valid | 355/600 ] loss = 0.29299, acc = 0.93400  epoch 354
[ Valid | 356/600 ] loss = 0.30550, acc = 0.93125  epoch 355
[ Valid | 357/600 ] loss = 0.27843, acc = 0.94063  epoch 356
[ Valid | 358/600 ] loss = 0.33151, acc = 0.93854  epoch 357
[ Valid | 359/600 ] loss = 0.25854, acc = 0.94015  epoch 358
[ Valid | 360/600 ] loss = 0.35322, acc = 0.93030  epoch 359
[ Valid | 361/600 ] loss = 0.28327, acc = 0.94233  epoch 360
[ Valid | 362/600 ] loss = 0.27033, acc = 0.92973  epoch 361
[ Valid | 363/600 ] loss = 0.32924, acc = 0.93504  epoch 362
[ Valid | 364/600 ] loss = 0.22309, acc = 0.93958  epoch 363
[ Valid | 365/600 ] loss = 0.34164, acc = 0.91884  epoch 364
[ Valid | 366/600 ] loss = 0.20593, acc = 0.94858  epoch 365
[ Valid | 367/600 ] loss = 0.28625, acc = 0.93343  epoch 366
[ Valid | 368/600 ] loss = 0.20927, acc = 0.95843 -> best epoch 367
[ Valid | 369/600 ] loss = 0.25429, acc = 0.94328  epoch 368
[ Valid | 370/600 ] loss = 0.26788, acc = 0.92775  epoch 369
[ Valid | 371/600 ] loss = 0.27291, acc = 0.94271  epoch 370
[ Valid | 372/600 ] loss = 0.23921, acc = 0.93239  epoch 371
[ Valid | 373/600 ] loss = 0.32723, acc = 0.92670  epoch 372
[ Valid | 374/600 ] loss = 0.31772, acc = 0.93030  epoch 373
